tender_id,supplier_name,fetched_at,financial_offer,technical_result,is_awarded,award_value
1090612,مؤسسة توريدات الصحراء التجارية,2026-08-15T21:36:58.196625+00:00,44829.3,مطابق,1,44829.3
1090653,شركة الاسناد الماسي الصناعية,2026-08-15T20:44:18.462928+00:00,82205.45,مطابق,0,
1090653,شركة بن سواد للتجارة,2026-08-15T20:44:18.462928+00:00,139897.5,مطابق,0,
1090653,شركة رؤية النخبه للتجارة,2026-08-15T20:44:18.462928+00:00,93040.75,مطابق,0,
1090653,شركة صقر يافع التجارية شركة شخص واحد التجارية,2026-08-15T20:44:18.462928+00:00,92575.0,مطابق,0,
1090653,مؤسسة الحمرور التجارية,2026-08-15T20:44:18.462928+00:00,173029.0,مطابق,0,
1090653,مؤسسة حسام عبدالله محمد المحيميد للتجارة,2026-08-15T20:44:18.462928+00:00,68000.0,مطابق,1,67850.0
1090653,مصنع بشائر المستقبل للصناعة,2026-08-15T20:44:18.462928+00:00,82949.5,مطابق,0,
1090670,شركة مجد الاوائل,2026-08-15T21:27:01.850707+00:00,73738.0,مطابق,0,
1090670,مؤسسة الوسامه الحجازيه للتجارة,2026-08-15T21:27:01.850707+00:00,67300.3,مطابق,1,67300.3
1090679,شركة العاديات المتحدة لقطع غيار السيارات,2026-08-15T22:00:15.131339+00:00,5870.75,غير مطابق,0,
1090679,مؤسسة المحفزات التجارية,2026-08-15T22:00:15.131339+00:00,5026.65,مطابق,1,5026.65
1090701,شركة اتجاهات الريادة للتجارة,2026-08-15T20:41:50.739551+00:00,101913.0,مطابق,0,
1090701,شركة المدارات السعودية للتجارة والاستيراد المحدودة شركة شخص واحد,2026-08-15T20:41:50.739551+00:00,32499.0,مطابق,0,
1090701,شركة مسارات الارضية للمقاولات العامة شخص واحد,2026-08-15T20:41:50.739551+00:00,24807.8,مطابق,1,24807.8
1090701,شركة هامة الكيان,2026-08-15T20:41:50.739551+00:00,25104.5,مطابق,0,
1090701,مؤسسة البراق الذهبي التجارية,2026-08-15T20:41:50.739551+00:00,26530.5,غير مطابق,0,
1090701,مؤسسة توريدات العاصمه للتجارة,2026-08-15T20:41:50.739551+00:00,29532.0,مطابق,0,
1090721,شركة الخليج الطبية,2026-08-15T21:30:09.630976+00:00,43200.0,غير مطابق,0,
1090721,شركة المدار الطبية للتجارة فرع شركة المدار للخدمات الطبية,2026-08-15T21:30:09.630976+00:00,59400.0,غير مطابق,0,
1090721,شركة داوازون التجارية,2026-08-15T21:30:09.630976+00:00,24444.0,غير مطابق,0,
1090721,شركة ميدترونيك العربية السعودية,2026-08-15T21:30:09.630976+00:00,29880.0,مطابق,1,29880.0
1090723,شركة عبد الله فؤاد للوازم والخدمات الطبية شركة شخص واحد مساهمة سعودية مقفلة,2026-08-15T21:51:42.361203+00:00,25440.0,مطابق,1,25440.0
